Nombre,Referencia,Tipo,Categoría,Precio (€),Stock
Fuente de Alimentación 24V,FA24-1000,Componente,Fuentes de alimentación,48.90,25
Sensor de Temperatura LM35,LM35,Componente,Sensores,3.25,120
Módulo WiFi ESP32,ESP32DEVKIT,Componente,Comunicación,9.80,80
Placa Arduino UNO R3,ARDUINO-UNO,Equipo,Microcontroladores,22.50,40
Relé 5V 10A,RELE5V10A,Componente,Control,2.10,300
Transformador 220/12V,TRF-2212,Componente,Potencia,15.00,50
Pantalla LCD 16x2,LCD162,Componente,Visualización,5.75,70
Resistencia 1KΩ,RES1K,Componente,Pasivos,0.05,1000
Condensador 100µF,CND100U,Componente,Pasivos,0.10,800
Microcontrolador ATmega328P,ATM328P,Componente,Microcontroladores,4.20,150
