ID,Título,Descripción,Impacto,Urgencia,Cliente,Asignado a,Estado
TK001,Revisión de tarjeta controladora,Cliente reporta fallo intermitente en la placa principal,Alto,Media,Electrónica Madrid S.L.,Carlos Ortega,En progreso
TK002,Sustitución de fusible,Equipo industrial detenido por fusible fundido,Medio,Alta,ServiCable Iberia,Lucía Gómez,Resuelto
TK003,Actualización de firmware,Versión antigua causa reinicios aleatorios,Bajo,Baja,TechNova Components,Ana Beltrán,Abierto
TK004,Calibración de sensor,Sensor LM35 muestra lectura incorrecta,Medio,Media,ElectroParts Valencia,Daniel Ruiz,En progreso
TK005,Reparación de fuente de alimentación,Entrada AC sin respuesta tras sobretensión,Alto,Alta,InduTech Zaragoza,Lucía Gómez,En progreso
TK006,Verificación de comunicación WiFi,El módulo ESP32 no conecta a red,Medio,Baja,PowerLink Systems,Carlos Ortega,Abierto
TK007,Cambio de transformador,Ruido excesivo en transformador TRF-2212,Bajo,Alta,ElectroSur Málaga,Ana Beltrán,Resuelto
TK008,Comprobación de resistencia 1KΩ,Variación de tolerancia fuera de rango,Bajo,Baja,TecnoCable Galicia,Daniel Ruiz,En progreso
TK009,Reemplazo de pantalla LCD,No se visualiza texto en pantalla,Ligero,Media,MicroVolt Canarias,Lucía Gómez,En progreso
TK010,Prueba de condensador 100µF,Posible fuga de corriente en lote defectuoso,Alto,Alta,Cables y Conectores Norte,Carlos Ortega,Abierto
